LOCATION,SUBJECT,MEASURE,TIME,Value
USA,BEEF,KG_CAP,1990,30.58439501
USA,BEEF,KG_CAP,1991,30.36112154
USA,BEEF,KG_CAP,1992,30.25143052
USA,BEEF,KG_CAP,1993,29.60549367
USA,BEEF,KG_CAP,1994,30.64673982
USA,BEEF,KG_CAP,1995,30.82671092
USA,BEEF,KG_CAP,1996,30.91811042
USA,BEEF,KG_CAP,1997,30.25044693
USA,BEEF,KG_CAP,1998,30.67977792
USA,BEEF,KG_CAP,1999,31.03156304
USA,BEEF,KG_CAP,2000,31.13144558
USA,BEEF,KG_CAP,2001,30.46864557
USA,BEEF,KG_CAP,2002,31.13777007
USA,BEEF,KG_CAP,2003,29.89333244
USA,BEEF,KG_CAP,2004,30.46049842
USA,BEEF,KG_CAP,2005,30.19648661
USA,BEEF,KG_CAP,2006,30.33667204
USA,BEEF,KG_CAP,2007,30.05972705
USA,BEEF,KG_CAP,2008,28.8712793
USA,BEEF,KG_CAP,2009,28.19983952
USA,BEEF,KG_CAP,2010,27.56187572
USA,BEEF,KG_CAP,2011,26.45223905
USA,BEEF,KG_CAP,2012,26.27146035
USA,BEEF,KG_CAP,2013,25.76733873
USA,BEEF,KG_CAP,2014,24.8176457
USA,BEEF,KG_CAP,2015,24.8114225
USA,BEEF,KG_CAP,2016,25.6224474
USA,BEEF,KG_CAP,2017,25.82328565
USA,BEEF,KG_CAP,2018,26.28019261
USA,BEEF,KG_CAP,2019,26.21618398
USA,BEEF,KG_CAP,2020,26.13342596
USA,BEEF,KG_CAP,2021,25.98248224
USA,BEEF,KG_CAP,2022,25.86457498
USA,BEEF,KG_CAP,2023,25.88189338
USA,BEEF,KG_CAP,2024,25.83013948
USA,BEEF,KG_CAP,2025,25.84284268
USA,BEEF,KG_CAP,2026,25.85086367
