,"Beef, Central U.S.",,,,"Pork, Central U.S.",,,,,"Lamb, East Coast",Broilers,,,,,,,Turkeys,,,,,"Eggs, Grade A, large",
,Boxed beef cutout,,"Boneless beef, 90 percent, fresh","Imported boneless beef, 90%, frozen",Pork cutout composite,"Loins, 14-19 lb BI 1/4"" trim","Bellies, 10-12 lb skin on trmd.","Hams, 20-23 lb BI trmd. TS1","Trimmings, 72 percent, fresh","55-65 lb, Choice",National Comp.,12-City Comp.,Georgia dock,  Northeast,,,,,,,,,Combined regional,New York
,"Choice 1-3, 600 - 900 lbs.","Select 1-3, 600 - 900 lbs.",,,,,,,,,,,,"Breast, boneless","Breast, Ribs on","Legs, whole",Leg quarters,"Hens, 8-16 lb","Toms, 16-24 lb","Breast, 4-8 lb",Drumsticks,"Wings, full cut",,
Period,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Dollar/cwt,Cents/lb,,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/lb,Cents/doz,Cents/doz
Jan-00,114.74,106.09,102.16,95.03,57.65,99.29,80.45,45.91,36.81,158.99,0,55.43,56.94,132.44,63.70,31.03,18.55,61.58,60.08,104.41,24.97,28.34,68.13,62.15
Feb-00,112.59,106.88,103.96,96.09,61.43,110.66,82.40,45.43,39.19,166.50,0,53.84,56.52,135.05,67.33,31.83,19.33,61.84,58.50,99.84,19.77,22.96,71.39,67.05
Mar-00,118.42,112.56,109.22,98.35,63.62,110.06,85.00,46.44,43.51,176.70,0,54.48,56.22,139.24,72.25,31.21,18.48,65.35,61.87,101.48,24.35,20.73,64.70,60.67
Apr-00,123.45,115.40,105.93,98.16,68.92,127.48,93.70,47.18,50.26,180.44,0,55.39,56.21,138.84,73.00,32.50,20.07,67.38,63.23,104.99,23.21,19.84,73.13,68.50
May-00,124.88,111.19,103.73,97.18,68.49,115.38,97.85,52.11,57.87,216.75,0,55.71,56.45,141.44,70.97,34.52,21.47,69.18,64.55,104.72,23.45,19.39,58.52,53.45
Jun-00,123.30,110.16,109.04,95.31,70.07,132.53,91.99,53.60,51.13,210.16,0,56.01,57.50,137.82,71.87,38.21,25.07,70.36,66.64,104.00,25.63,20.69,66.50,64.23
Jul-00,115.85,106.67,103.82,95.72,70.45,131.73,90.38,59.28,52.29,194.88,0,56.61,58.11,128.98,62.42,36.44,23.52,71.55,68.53,106.11,25.64,21.60,62.22,61.90
